HierarchyID: 24333159, Process: 0, Stage: 0, Operation: 0, Action: , MeasureID: 1, Label: measure_id-1
HierarchyID: 24333160, Process: 0, Stage: 0, Operation: 0, Action: , MeasureID: 2, Label: measure_id-2
HierarchyID: 24333161, Process: 0, Stage: 0, Operation: 0, Action: , MeasureID: 3, Label: measure_id-3
HierarchyID: 24333162, Process: 0, Stage: 0, Operation: 0, Action: , MeasureID: 4, Label: measure_id-4
HierarchyID: 24333163, Process: 0, Stage: 0, Operation: 0, Action: , MeasureID: 5, Label: measure_id-5
HierarchyID: 24333164, Process: 0, Stage: 0, Operation: 0, Action: , MeasureID: 6, Label: measure_id-6
HierarchyID: 24333165, Process: 0, Stage: 0, Operation: 0, Action: , MeasureID: 7, Label: measure_id-7
HierarchyID: 24333166, Process: 0, Stage: 0, Operation: 0, Action: , MeasureID: 8, Label: measure_id-8
HierarchyID: 24333167, Process: 0, Stage: 0, Operation: 0, Action: , MeasureID: 9, Label: measure_id-9
HierarchyID: 24333168, Process: 0, Stage: 0, Operation: 0, Action: , MeasureID: 10, Label: measure_id-10
HierarchyID: 24333169, Process: 0, Stage: 0, Operation: 0, Action: , MeasureID: 11, Label: measure_id-11
HierarchyID: 24333170, Process: 0, Stage: 0, Operation: 0, Action: , MeasureID: 12, Label: measure_id-12
HierarchyID: 24333171, Process: 0, Stage: 0, Operation: 0, Action: , MeasureID: 13, Label: measure_id-13
HierarchyID: 24333172, Process: 0, Stage: 0, Operation: 0, Action: , MeasureID: 14, Label: measure_id-14
HierarchyID: 24333173, Process: 0, Stage: 0, Operation: 0, Action: , MeasureID: 15, Label: measure_id-15
HierarchyID: 24333174, Process: 0, Stage: 0, Operation: 0, Action: , MeasureID: 16, Label: measure_id-16
HierarchyID: 24333175, Process: 0, Stage: 0, Operation: 0, Action: , MeasureID: 17, Label: measure_id-17
HierarchyID: 24333176, Process: 0, Stage: 0, Operation: 0, Action: , MeasureID: 18, Label: measure_id-18
HierarchyID: 24333177, Process: 0, Stage: 0, Operation: 0, Action: , MeasureID: 19, Label: measure_id-19
HierarchyID: 24333178, Process: 0, Stage: 0, Operation: 0, Action: , MeasureID: 20, Label: measure_id-20
